GISJOIN,STATEFP20
G53000109503021019,53
G53000109503021020,53
G53000109503021021,53
G53000109503021022,53
G53000109503021023,53
G53000109503021024,53
G53000109503021025,53
G53000109503021026,53
G53000109503021027,53
G53000109503021028,53
G53000109503021029,53
G53000109503021030,53
G53000109503021031,53
G53000109503021032,53
G53000109503021033,53
G53000109503021034,53
G53000109503021035,53
G53000109503021036,53
G53000109503021037,53
G53000109503021038,53
G53000109503021039,53
G53000109503021040,53
G53000109503021041,53
G53000109503021042,53
G53000109503021043,53
G53000109503021044,53
G53000109503021045,53
G53000109503021046,53
G53000109503021047,53
G53000109503021048,53
G53000109503021049,53
G53000109503021050,53
G53000109503021051,53
G53000109503021052,53
G53000109503021053,53
G53000109503021054,53
G53000109503021055,53
G53000109503021056,53
G53000109503021057,53
G53000109503021058,53
G53000109503021059,53
G53000109503021060,53
G53000109503021061,53
G53000109503021062,53
G53000109503021063,53
G53000109503031000,53
G53000109503031001,53
G53000109503031002,53
G53000109503031003,53
G53000109503031004,53
G53000109503031005,53
G53000109503031006,53
G53000109503031007,53
G53000109503031008,53
G53000109503031009,53
G53000109503031010,53
G53000109503031011,53
G53000109503031012,53
G53000109503031013,53
G53000109503031014,53
G53000109503032000,53
G53000109503032001,53
G53000109503032002,53
G53000109503032003,53
G53000109503032004,53
G53000109503032005,53
G53000109503032006,53
G53000109503032007,53
G53000109503032008,53
G53000109503032009,53
G53000109503032010,53
G53000109503032011,53
G53000109503032012,53
G53000109503032013,53
G53000109503032014,53
G53000109503032015,53
G53000109503032016,53
G53000109503032017,53
G53000109503032018,53
G53000109503032019,53
G53000109503032020,53
G53000109503032021,53
G53000109503032022,53
G53000109503032023,53
G53000109503032024,53
G53000109503032025,53
G53000109503032026,53
G53000109503032027,53
G53000109503032028,53
G53000109503032029,53
G53000109503032030,53
G53000109503032031,53
G53000109503032032,53
G53000109503032033,53
G53000109503032034,53
G53000109503032035,53
G53000109503032036,53
G53000109503032037,53
G53000109503032038,53
G53000109503032039,53
G53000109503032040,53
G53000109503032041,53
G53000109503032042,53
G53000109503032043,53
G53000109503032044,53
G53000109503032045,53
G53000109504001000,53
G53000109504001001,53
G53000109504001002,53
G53000109504001003,53
G53000109504001004,53
G53000109504001005,53
G53000109504001006,53
G53000109504001007,53
G53000109504001008,53
G53000109504001009,53
G53000109504001010,53
G53000109504001011,53
G53000109504001012,53
G53000109504001013,53
G53000109504001014,53
G53000109504001015,53
G53000109504001016,53
G53000109504001017,53
G53000109504001018,53
G53000109504001019,53
G53000109504001020,53
G53000109504001021,53
G53000109504001022,53
G53000109504001023,53
G53000109504001024,53
G53000109504001025,53
G53000109504001026,53
G53000109504001027,53
G53000109504001028,53
G53000109504001029,53
G53000109504001030,53
G53000109504001031,53
G53000109504001032,53
G53000109504001033,53
G53000109504001034,53
G53000109504001035,53
G53000109504001036,53
G53000109504001037,53
G53000109504001038,53
G53000109504001039,53
G53000109504001040,53
G53000109504001041,53
G53000109504001042,53
G53000109504001043,53
G53000109504001044,53
G53000109504001045,53
G53000109504001046,53
G53000109504001047,53
G53000109504001048,53
G53000109504001049,53
G53000109504001050,53
G53000109504001051,53
G53000109504001052,53
G53000109504001053,53
G53000109504001054,53
G53000109504001055,53
G53000109504001056,53
G53000109504001057,53
G53000109504001058,53
G53000109504001059,53
G53000109504002000,53
G53000109504002001,53
G53000109504002002,53
G53000109504002003,53
G53000109504002004,53
G53000109504002005,53
G53000109504002006,53
G53000109504002007,53
G53000109504002008,53
G53000109504002009,53
G53000109504002010,53
G53000109504002011,53
G53000109504002012,53
G53000109504002013,53
G53000109504002014,53
G53000109504002015,53
G53000109504002016,53
G53000109504002017,53
G53000109504002018,53
G53000109504002019,53
G53000109504002020,53
G53000109504002021,53
G53000109504002022,53
G53000109504002023,53
G53000109504002024,53
G53000109504002025,53
G53000109504002026,53
G53000109504002027,53
G53000109504002028,53
G53000109504002029,53
G53000109504002030,53
G53000109504002031,53
G53000109504002032,53
G53000109504002033,53
G53000109504002034,53
G53000109504002035,53
G53000109504002036,53
G53000109504002037,53
G53000109504002038,53
G53000109504002039,53
G53000109504002040,53
G53000109504002041,53
G53000109504002042,53
G53000109504002043,53
G53000109504002044,53
G53000109504002045,53
G53000109504002046,53
G53000109504002047,53
G53000109504002048,53
G53000109504002049,53
G53000109504002050,53
G53000109504002051,53
G53000109504002052,53
G53000109504002053,53
G53000109504002054,53
G53000109504002055,53
G53000109504002056,53
G53000109504002057,53
G53000109504002058,53
G53000109504002059,53
G53000109504002060,53
G53000109504002061,53
G53000109504002062,53
